x,T,p,rho,U_0,U_1,U_2
0.000625,2.49999,0.99999,0.999937,3.17199e-06,0,0
0.001875,2.49999,0.99999,0.999937,3.17199e-06,0,0
0.003125,2.49999,0.99999,0.999937,3.17199e-06,0,0
0.004375,2.49999,0.99999,0.999937,3.17199e-06,0,0
0.005625,2.49999,0.99999,0.999937,3.17199e-06,0,0
0.006875,2.49999,0.99999,0.999937,3.17199e-06,0,0
0.008125,2.49999,0.99999,0.999937,3.17199e-06,0,0
0.009375,2.49999,0.99999,0.999937,3.17199e-06,0,0
0.010625,2.49999,0.999985,0.999933,1.11537e-05,0,0
0.011875,2.49999,0.999985,0.999933,1.11537e-05,0,0
0.013125,2.49999,0.999985,0.999933,1.11537e-05,0,0
0.014375,2.49999,0.999985,0.999933,1.11537e-05,0,0
0.015625,2.49999,0.999985,0.999933,1.11537e-05,0,0
0.016875,2.49999,0.999985,0.999933,1.11537e-05,0,0
0.018125,2.49999,0.999985,0.999933,1.11537e-05,0,0
0.019375,2.49999,0.999985,0.999933,1.11537e-05,0,0
0.020625,2.49998,0.99997,0.999923,2.48275e-05,0,0
0.021875,2.49998,0.99997,0.999923,2.48275e-05,0,0
0.023125,2.49998,0.99997,0.999923,2.48275e-05,0,0
0.024375,2.49998,0.99997,0.999923,2.48275e-05,0,0
0.025625,2.49998,0.99997,0.999923,2.48275e-05,0,0
0.026875,2.49998,0.99997,0.999923,2.48275e-05,0,0
0.028125,2.49998,0.99997,0.999923,2.48275e-05,0,0
0.029375,2.49998,0.99997,0.999923,2.48275e-05,0,0
0.030625,2.49996,0.999942,0.999903,5.03423e-05,0,0
0.031875,2.49996,0.999942,0.999903,5.03423e-05,0,0
0.033125,2.49996,0.999942,0.999903,5.03423e-05,0,0
0.034375,2.49996,0.999942,0.999903,5.03423e-05,0,0
0.035625,2.49996,0.999942,0.999903,5.03423e-05,0,0
0.036875,2.49996,0.999942,0.999903,5.03423e-05,0,0
0.038125,2.49996,0.999942,0.999903,5.03423e-05,0,0
0.039375,2.49996,0.999942,0.999903,5.03423e-05,0,0
0.040625,2.49991,0.999888,0.999865,9.79605e-05,0,0
0.041875,2.49991,0.999888,0.999865,9.79605e-05,0,0
0.043125,2.49991,0.999888,0.999865,9.79605e-05,0,0
0.044375,2.49991,0.999888,0.999865,9.79605e-05,0,0
0.045625,2.49991,0.999888,0.999865,9.79605e-05,0,0
0.046875,2.49991,0.999888,0.999865,9.79605e-05,0,0
0.048125,2.49991,0.999888,0.999865,9.79605e-05,0,0
0.049375,2.49991,0.999888,0.999865,9.79605e-05,0,0
0.050625,2.49984,0.999788,0.999796,0.000184757,0,0
0.051875,2.49984,0.999788,0.999796,0.000184757,0,0
0.053125,2.49984,0.999788,0.999796,0.000184757,0,0
0.054375,2.49984,0.999788,0.999796,0.000184757,0,0
0.055625,2.49984,0.999788,0.999796,0.000184757,0,0
0.056875,2.49984,0.999788,0.999796,0.000184757,0,0
0.058125,2.49984,0.999788,0.999796,0.000184757,0,0
0.059375,2.49984,0.999788,0.999796,0.000184757,0,0
0.060625,2.49971,0.999612,0.999673,0.000338305,0,0
0.061875,2.49971,0.999612,0.999673,0.000338305,0,0
0.063125,2.49971,0.999612,0.999673,0.000338305,0,0
0.064375,2.49971,0.999612,0.999673,0.000338305,0,0
0.065625,2.49971,0.999612,0.999673,0.000338305,0,0
0.066875,2.49971,0.999612,0.999673,0.000338305,0,0
0.068125,2.49971,0.999612,0.999673,0.000338305,0,0
0.069375,2.49971,0.999612,0.999673,0.000338305,0,0
0.070625,2.49948,0.999309,0.999461,0.000601394,0,0
0.071875,2.49948,0.999309,0.999461,0.000601394,0,0
0.073125,2.49948,0.999309,0.999461,0.000601394,0,0
0.074375,2.49948,0.999309,0.999461,0.000601394,0,0
0.075625,2.49948,0.999309,0.999461,0.000601394,0,0
0.076875,2.49948,0.999309,0.999461,0.000601394,0,0
0.078125,2.49948,0.999309,0.999461,0.000601394,0,0
0.079375,2.49948,0.999309,0.999461,0.000601394,0,0
0.080625,2.4991,0.998806,0.999109,0.00103751,0,0
0.081875,2.4991,0.998806,0.999109,0.00103751,0,0
0.083125,2.4991,0.998806,0.999109,0.00103751,0,0
0.084375,2.4991,0.998806,0.999109,0.00103751,0,0
0.085625,2.4991,0.998806,0.999109,0.00103751,0,0
0.086875,2.4991,0.998806,0.999109,0.00103751,0,0
0.088125,2.4991,0.998806,0.999109,0.00103751,0,0
0.089375,2.4991,0.998806,0.999109,0.00103751,0,0
0.090625,2.4985,0.998,0.998543,0.00173642,0,0
0.091875,2.4985,0.998,0.998543,0.00173642,0,0
0.093125,2.4985,0.998,0.998543,0.00173642,0,0
0.094375,2.4985,0.998,0.998543,0.00173642,0,0
0.095625,2.4985,0.998,0.998543,0.00173642,0,0
0.096875,2.4985,0.998,0.998543,0.00173642,0,0
0.098125,2.4985,0.998,0.998543,0.00173642,0,0
0.099375,2.4985,0.998,0.998543,0.00173642,0,0
0.100625,2.49756,0.996749,0.997665,0.00281863,0,0
0.101875,2.49756,0.996749,0.997665,0.00281863,0,0
0.103125,2.49756,0.996749,0.997665,0.00281863,0,0
0.104375,2.49756,0.996749,0.997665,0.00281863,0,0
0.105625,2.49756,0.996749,0.997665,0.00281863,0,0
0.106875,2.49756,0.996749,0.997665,0.00281863,0,0
0.108125,2.49756,0.996749,0.997665,0.00281863,0,0
0.109375,2.49756,0.996749,0.997665,0.00281863,0,0
0.110625,2.49617,0.994878,0.996348,0.00443725,0,0
0.111875,2.49617,0.994878,0.996348,0.00443725,0,0
0.113125,2.49617,0.994878,0.996348,0.00443725,0,0
0.114375,2.49617,0.994878,0.996348,0.00443725,0,0
0.115625,2.49617,0.994878,0.996348,0.00443725,0,0
0.116875,2.49617,0.994878,0.996348,0.00443725,0,0
0.118125,2.49617,0.994878,0.996348,0.00443725,0,0
0.119375,2.49617,0.994878,0.996348,0.00443725,0,0
0.120625,2.49416,0.992176,0.994441,0.00677561,0,0
0.121875,2.49416,0.992176,0.994441,0.00677561,0,0
0.123125,2.49416,0.992176,0.994441,0.00677561,0,0
0.124375,2.49416,0.992176,0.994441,0.00677561,0,0
0.125625,2.49416,0.992176,0.994441,0.00677561,0,0
0.126875,2.49416,0.992176,0.994441,0.00677561,0,0
0.128125,2.49416,0.992176,0.994441,0.00677561,0,0
0.129375,2.49416,0.992176,0.994441,0.00677561,0,0
0.130625,2.49137,0.988407,0.991775,0.0100398,0,0
0.131875,2.49137,0.988407,0.991775,0.0100398,0,0
0.133125,2.49137,0.988407,0.991775,0.0100398,0,0
0.134375,2.49137,0.988407,0.991775,0.0100398,0,0
0.135625,2.49137,0.988407,0.991775,0.0100398,0,0
0.136875,2.49137,0.988407,0.991775,0.0100398,0,0
0.138125,2.49137,0.988407,0.991775,0.0100398,0,0
0.139375,2.49137,0.988407,0.991775,0.0100398,0,0
0.140625,2.4876,0.98333,0.988174,0.0144461,0,0
0.141875,2.4876,0.98333,0.988174,0.0144461,0,0
0.143125,2.4876,0.98333,0.988174,0.0144461,0,0
0.144375,2.4876,0.98333,0.988174,0.0144461,0,0
0.145625,2.4876,0.98333,0.988174,0.0144461,0,0
0.146875,2.4876,0.98333,0.988174,0.0144461,0,0
0.148125,2.4876,0.98333,0.988174,0.0144461,0,0
0.149375,2.4876,0.98333,0.988174,0.0144461,0,0
0.150625,2.4827,0.976717,0.983468,0.0202051,0,0
0.151875,2.4827,0.976717,0.983468,0.0202051,0,0
0.153125,2.4827,0.976717,0.983468,0.0202051,0,0
0.154375,2.4827,0.976717,0.983468,0.0202051,0,0
0.155625,2.4827,0.976717,0.983468,0.0202051,0,0
0.156875,2.4827,0.976717,0.983468,0.0202051,0,0
0.158125,2.4827,0.976717,0.983468,0.0202051,0,0
0.159375,2.4827,0.976717,0.983468,0.0202051,0,0
0.160625,2.4765,0.968377,0.977509,0.0275053,0,0
0.161875,2.4765,0.968377,0.977509,0.0275053,0,0
0.163125,2.4765,0.968377,0.977509,0.0275053,0,0
0.164375,2.4765,0.968377,0.977509,0.0275053,0,0
0.165625,2.4765,0.968377,0.977509,0.0275053,0,0
0.166875,2.4765,0.968377,0.977509,0.0275053,0,0
0.168125,2.4765,0.968377,0.977509,0.0275053,0,0
0.169375,2.4765,0.968377,0.977509,0.0275053,0,0
