      x               rho             U               p               u
      0.369375        0.613584        0.550597        0.504689        2.056315
      0.370625        0.611205        0.554763        0.501951        2.053122
      0.371875        0.608834        0.558930        0.499227        2.049933
      0.373125        0.606470        0.563097        0.496516        2.046745
      0.374375        0.604113        0.567263        0.493817        2.043560
      0.375625        0.601764        0.571430        0.491130        2.040377
      0.376875        0.599422        0.575597        0.488456        2.037197
      0.378125        0.597087        0.579763        0.485795        2.034019
      0.379375        0.594760        0.583930        0.483146        2.030844
      0.380625        0.592439        0.588097        0.480509        2.027672
      0.381875        0.590127        0.592263        0.477885        2.024502
      0.383125        0.587821        0.596430        0.475273        2.021334
      0.384375        0.585523        0.600597        0.472673        2.018169
      0.385625        0.583231        0.604763        0.470086        2.015006
      0.386875        0.580947        0.608930        0.467510        2.011846
      0.388125        0.578670        0.613097        0.464947        2.008688
      0.389375        0.576400        0.617263        0.462396        2.005533
      0.390625        0.574138        0.621430        0.459856        2.002379
      0.391875        0.571882        0.625597        0.457329        1.999229
      0.393125        0.569633        0.629763        0.454814        1.996082
      0.394375        0.567392        0.633930        0.452310        1.992936
      0.395625        0.565158        0.638097        0.449819        1.989793
      0.396875        0.562931        0.642263        0.447339        1.986653
      0.398125        0.560711        0.646430        0.444871        1.983515
      0.399375        0.558497        0.650597        0.442414        1.980379
      0.400625        0.556291        0.654763        0.439970        1.977247
      0.401875        0.554092        0.658930        0.437536        1.974116
      0.403125        0.551899        0.663097        0.435115        1.970988
      0.404375        0.549714        0.667263        0.432705        1.967862
      0.405625        0.547535        0.671430        0.430306        1.964739
      0.406875        0.545364        0.675597        0.427918        1.961618
      0.408125        0.543199        0.679763        0.425542        1.958501
      0.409375        0.541042        0.683930        0.423178        1.955385
      0.410625        0.538891        0.688097        0.420825        1.952272
      0.411875        0.536747        0.692263        0.418482        1.949161
      0.413125        0.534609        0.696430        0.416151        1.946053
      0.414375        0.532479        0.700597        0.413832        1.942948
      0.415625        0.530355        0.704763        0.411523        1.939844
      0.416875        0.528238        0.708930        0.409225        1.936743
      0.418125        0.526129        0.713097        0.406938        1.933645
      0.419375        0.524025        0.717263        0.404662        1.930549
      0.420625        0.521929        0.721430        0.402398        1.927456
      0.421875        0.519839        0.725597        0.400144        1.924366
      0.423125        0.517756        0.729763        0.397901        1.921277
      0.424375        0.515679        0.733930        0.395669        1.918191
      0.425625        0.513609        0.738097        0.393447        1.915108
      0.426875        0.511546        0.742263        0.391236        1.912027
      0.428125        0.509490        0.746430        0.389036        1.908948
      0.429375        0.507440        0.750597        0.386846        1.905872
      0.430625        0.505396        0.754763        0.384667        1.902799
      0.431875        0.503360        0.758930        0.382499        1.899728
      0.433125        0.501330        0.763097        0.380341        1.896660
      0.434375        0.499306        0.767263        0.378193        1.893594
      0.435625        0.497289        0.771430        0.376056        1.890530
      0.436875        0.495279        0.775597        0.373929        1.887469
      0.438125        0.493274        0.779763        0.371813        1.884410
      0.439375        0.491277        0.783930        0.369707        1.881355
      0.440625        0.489286        0.788097        0.367610        1.878301
      0.441875        0.487301        0.792263        0.365524        1.875249
      0.443125        0.485323        0.796430        0.363449        1.872201
      0.444375        0.483351        0.800597        0.361383        1.869155
      0.445625        0.481386        0.804763        0.359328        1.866111
      0.446875        0.479428        0.808930        0.357283        1.863070
      0.448125        0.477475        0.813097        0.355247        1.860031
      0.449375        0.475529        0.817263        0.353222        1.856995
      0.450625        0.473589        0.821430        0.351206        1.853961
      0.451875        0.471655        0.825597        0.349200        1.850930
      0.453125        0.469728        0.829763        0.347205        1.847901
      0.454375        0.467807        0.833930        0.345218        1.844874
      0.455625        0.465893        0.838097        0.343242        1.841851
      0.456875        0.463984        0.842263        0.341275        1.838829
      0.458125        0.462083        0.846430        0.339318        1.835811
      0.459375        0.460187        0.850597        0.337371        1.832795
      0.460625        0.458297        0.854763        0.335433        1.829780
      0.461875        0.456414        0.858930        0.333505        1.826769
      0.463125        0.454537        0.863097        0.331586        1.823760
      0.464375        0.452666        0.867263        0.329677        1.820753
      0.465625        0.450801        0.871430        0.327777        1.817750
      0.466875        0.448942        0.875597        0.325887        1.814748
      0.468125        0.447090        0.879763        0.324006        1.811749
      0.469375        0.445243        0.883930        0.322134        1.808752
      0.470625        0.443403        0.888097        0.320272        1.805758
      0.471875        0.441569        0.892263        0.318419        1.802767
      0.473125        0.439741        0.896430        0.316574        1.799778
      0.474375        0.437919        0.900597        0.314740        1.796791
      0.475625        0.436103        0.904763        0.312914        1.793807
      0.476875        0.434293        0.908930        0.311097        1.790825
      0.478125        0.432489        0.913097        0.309289        1.787846
      0.479375        0.430691        0.917263        0.307491        1.784869
      0.480625        0.428899        0.921430        0.305701        1.781895
      0.481875        0.427113        0.925597        0.303920        1.778923
      0.483125        0.426319        0.927453        0.303130        1.777600
      0.484375        0.426319        0.927453        0.303130        1.777600
      0.485625        0.426319        0.927453        0.303130        1.777600
      0.486875        0.426319        0.927453        0.303130        1.777600
      0.488125        0.426319        0.927453        0.303130        1.777600
      0.489375        0.426319        0.927453        0.303130        1.777600
      0.490625        0.426319        0.927453        0.303130        1.777600
      0.491875        0.426319        0.927453        0.303130        1.777600
      0.493125        0.426319        0.927453        0.303130        1.777600
      0.494375        0.426319        0.927453        0.303130        1.777600
      0.495625        0.426319        0.927453        0.303130        1.777600
      0.496875        0.426319        0.927453        0.303130        1.777600
      0.498125        0.426319        0.927453        0.303130        1.777600
      0.499375        0.426319        0.927453        0.303130        1.777600
      0.500625        0.426319        0.927453        0.303130        1.777600
      0.501875        0.426319        0.927453        0.303130        1.777600
      0.503125        0.426319        0.927453        0.303130        1.777600
      0.504375        0.426319        0.927453        0.303130        1.777600
      0.505625        0.426319        0.927453        0.303130        1.777600
      0.506875        0.426319        0.927453        0.303130        1.777600
      0.508125        0.426319        0.927453        0.303130        1.777600
      0.509375        0.426319        0.927453        0.303130        1.777600
      0.510625        0.426319        0.927453        0.303130        1.777600
      0.511875        0.426319        0.927453        0.303130        1.777600
      0.513125        0.426319        0.927453        0.303130        1.777600
      0.514375        0.426319        0.927453        0.303130        1.777600
      0.515625        0.426319        0.927453        0.303130        1.777600
      0.516875        0.426319        0.927453        0.303130        1.777600
      0.518125        0.426319        0.927453        0.303130        1.777600
      0.519375        0.426319        0.927453        0.303130        1.777600
      0.520625        0.426319        0.927453        0.303130        1.777600
      0.521875        0.426319        0.927453        0.303130        1.777600
      0.523125        0.426319        0.927453        0.303130        1.777600
      0.524375        0.426319        0.927453        0.303130        1.777600
      0.525625        0.426319        0.927453        0.303130        1.777600
      0.526875        0.426319        0.927453        0.303130        1.777600
      0.528125        0.426319        0.927453        0.303130        1.777600
      0.529375        0.426319        0.927453        0.303130        1.777600
      0.530625        0.426319        0.927453        0.303130        1.777600
      0.531875        0.426319        0.927453        0.303130        1.777600
      0.533125        0.426319        0.927453        0.303130        1.777600
      0.534375        0.426319        0.927453        0.303130        1.777600
      0.535625        0.426319        0.927453        0.303130        1.777600
      0.536875        0.426319        0.927453        0.303130        1.777600
      0.538125        0.426319        0.927453        0.303130        1.777600
      0.539375        0.426319        0.927453        0.303130        1.777600
      0.540625        0.426319        0.927453        0.303130        1.777600
      0.541875        0.426319        0.927453        0.303130        1.777600
      0.543125        0.426319        0.927453        0.303130        1.777600
      0.544375        0.426319        0.927453        0.303130        1.777600
      0.545625        0.426319        0.927453        0.303130        1.777600
      0.546875        0.426319        0.927453        0.303130        1.777600
      0.548125        0.426319        0.927453        0.303130        1.777600
      0.549375        0.426319        0.927453        0.303130        1.777600
      0.550625        0.426319        0.927453        0.303130        1.777600
      0.551875        0.426319        0.927453        0.303130        1.777600
      0.553125        0.426319        0.927453        0.303130        1.777600
      0.554375        0.426319        0.927453        0.303130        1.777600
      0.555625        0.426319        0.927453        0.303130        1.777600
      0.556875        0.426319        0.927453        0.303130        1.777600
      0.558125        0.426319        0.927453        0.303130        1.777600
      0.559375        0.426319        0.927453        0.303130        1.777600
      0.560625        0.426319        0.927453        0.303130        1.777600
      0.561875        0.426319        0.927453        0.303130        1.777600
      0.563125        0.426319        0.927453        0.303130        1.777600
      0.564375        0.426319        0.927453        0.303130        1.777600
      0.565625        0.426319        0.927453        0.303130        1.777600
      0.566875        0.426319        0.927453        0.303130        1.777600
      0.568125        0.426319        0.927453        0.303130        1.777600
      0.569375        0.426319        0.927453        0.303130        1.777600
      0.570625        0.426319        0.927453        0.303130        1.777600
      0.571875        0.426319        0.927453        0.303130        1.777600
      0.573125        0.426319        0.927453        0.303130        1.777600
      0.574375        0.426319        0.927453        0.303130        1.777600
      0.575625        0.426319        0.927453        0.303130        1.777600
      0.576875        0.426319        0.927453        0.303130        1.777600
      0.578125        0.426319        0.927453        0.303130        1.777600
      0.579375        0.426319        0.927453        0.303130        1.777600
      0.580625        0.426319        0.927453        0.303130        1.777600
      0.581875        0.426319        0.927453        0.303130        1.777600
      0.583125        0.426319        0.927453        0.303130        1.777600
      0.584375        0.426319        0.927453        0.303130        1.777600
      0.585625        0.426319        0.927453        0.303130        1.777600
      0.586875        0.426319        0.927453        0.303130        1.777600
      0.588125        0.426319        0.927453        0.303130        1.777600
      0.589375        0.426319        0.927453        0.303130        1.777600
      0.590625        0.426319        0.927453        0.303130        1.777600
      0.591875        0.426319        0.927453        0.303130        1.777600
      0.593125        0.426319        0.927453        0.303130        1.777600
      0.594375        0.426319        0.927453        0.303130        1.777600
      0.595625        0.426319        0.927453        0.303130        1.777600
      0.596875        0.426319        0.927453        0.303130        1.777600
      0.598125        0.426319        0.927453        0.303130        1.777600
      0.599375        0.426319        0.927453        0.303130        1.777600
      0.600625        0.426319        0.927453        0.303130        1.777600
      0.601875        0.426319        0.927453        0.303130        1.777600
      0.603125        0.426319        0.927453        0.303130        1.777600
      0.604375        0.426319        0.927453        0.303130        1.777600
      0.605625        0.426319        0.927453        0.303130        1.777600
      0.606875        0.426319        0.927453        0.303130        1.777600
      0.608125        0.426319        0.927453        0.303130        1.777600
      0.609375        0.426319        0.927453        0.303130        1.777600
      0.610625        0.426319        0.927453        0.303130        1.777600
      0.611875        0.426319        0.927453        0.303130        1.777600
      0.613125        0.426319        0.927453        0.303130        1.777600
      0.614375        0.426319        0.927453        0.303130        1.777600
      0.615625        0.426319        0.927453        0.303130        1.777600
      0.616875        0.426319        0.927453        0.303130        1.777600
      0.618125        0.426319        0.927453        0.303130        1.777600
      0.619375        0.426319        0.927453        0.303130        1.777600
      0.620625        0.426319        0.927453        0.303130        1.777600
      0.621875        0.426319        0.927453        0.303130        1.777600
      0.623125        0.426319        0.927453        0.303130        1.777600
      0.624375        0.426319        0.927453        0.303130        1.777600
      0.625625        0.426319        0.927453        0.303130        1.777600
      0.626875        0.426319        0.927453        0.303130        1.777600
      0.628125        0.426319        0.927453        0.303130        1.777600
      0.629375        0.426319        0.927453        0.303130        1.777600
      0.630625        0.426319        0.927453        0.303130        1.777600
      0.631875        0.426319        0.927453        0.303130        1.777600
      0.633125        0.426319        0.927453        0.303130        1.777600
      0.634375        0.426319        0.927453        0.303130        1.777600
      0.635625        0.426319        0.927453        0.303130        1.777600
      0.636875        0.426319        0.927453        0.303130        1.777600
      0.638125        0.426319        0.927453        0.303130        1.777600
      0.639375        0.426319        0.927453        0.303130        1.777600
      0.640625        0.426319        0.927453        0.303130        1.777600
      0.641875        0.426319        0.927453        0.303130        1.777600
      0.643125        0.426319        0.927453        0.303130        1.777600
      0.644375        0.426319        0.927453        0.303130        1.777600
      0.645625        0.426319        0.927453        0.303130        1.777600
      0.646875        0.426319        0.927453        0.303130        1.777600
      0.648125        0.426319        0.927453        0.303130        1.777600
      0.649375        0.426319        0.927453        0.303130        1.777600
      0.650625        0.426319        0.927453        0.303130        1.777600
      0.651875        0.426319        0.927453        0.303130        1.777600
      0.653125        0.426319        0.927453        0.303130        1.777600
      0.654375        0.426319        0.927453        0.303130        1.777600
      0.655625        0.426319        0.927453        0.303130        1.777600
      0.656875        0.426319        0.927453        0.303130        1.777600
      0.658125        0.426319        0.927453        0.303130        1.777600
      0.659375        0.426319        0.927453        0.303130        1.777600
      0.660625        0.426319        0.927453        0.303130        1.777600
      0.661875        0.426319        0.927453        0.303130        1.777600
      0.663125        0.426319        0.927453        0.303130        1.777600
      0.664375        0.426319        0.927453        0.303130        1.777600
      0.665625        0.426319        0.927453        0.303130        1.777600
      0.666875        0.426319        0.927453        0.303130        1.777600
      0.668125        0.426319        0.927453        0.303130        1.777600
      0.669375        0.426319        0.927453        0.303130        1.777600
