x,T,p,U_0,U_1,U_2
0.220625,1,0.4,-2,0,0
0.221875,1,0.4,-2,0,0
0.223125,1,0.4,-2,0,0
0.224375,1,0.4,-2,0,0
0.225625,1,0.4,-2,0,0
0.226875,1,0.4,-2,0,0
0.228125,1,0.4,-2,0,0
0.229375,1,0.4,-2,0,0
0.230625,1,0.4,-2,0,0
0.231875,1,0.4,-2,0,0
0.233125,1,0.4,-2,0,0
0.234375,1,0.4,-2,0,0
0.235625,1,0.4,-2,0,0
0.236875,1,0.4,-2,0,0
0.238125,1,0.4,-2,0,0
0.239375,1,0.4,-2,0,0
0.240625,1,0.4,-2,0,0
0.241875,1,0.4,-2,0,0
0.243125,1,0.4,-2,0,0
0.244375,1,0.4,-2,0,0
0.245625,1,0.4,-2,0,0
0.246875,1,0.4,-2,0,0
0.248125,1,0.4,-2,0,0
0.249375,1,0.4,-2,0,0
0.250625,1,0.4,-2,0,0
0.251875,1,0.4,-2,0,0
0.253125,1,0.4,-2,0,0
0.254375,1,0.4,-2,0,0
0.255625,1,0.4,-2,0,0
0.256875,1,0.4,-2,0,0
0.258125,1,0.4,-2,0,0
0.259375,1,0.4,-2,0,0
0.260625,1,0.4,-2,0,0
0.261875,1,0.4,-2,0,0
0.263125,1,0.4,-2,0,0
0.264375,1,0.4,-2,0,0
0.265625,1,0.4,-2,0,0
0.266875,1,0.4,-2,0,0
0.268125,1,0.4,-2,0,0
0.269375,1,0.4,-2,0,0
0.270625,1,0.4,-2,0,0
0.271875,1,0.4,-2,0,0
0.273125,1,0.4,-2,0,0
0.274375,1,0.4,-2,0,0
0.275625,1,0.4,-2,0,0
0.276875,1,0.4,-2,0,0
0.278125,1,0.4,-2,0,0
0.279375,1,0.4,-2,0,0
0.280625,1,0.4,-2,0,0
0.281875,1,0.4,-2,0,0
0.283125,1,0.4,-2,0,0
0.284375,1,0.4,-2,0,0
0.285625,1,0.4,-2,0,0
0.286875,1,0.4,-2,0,0
0.288125,1,0.4,-2,0,0
0.289375,1,0.4,-2,0,0
0.290625,1,0.4,-2,0,0
0.291875,1,0.4,-2,0,0
0.293125,1,0.4,-2,0,0
0.294375,1,0.4,-2,0,0
0.295625,1,0.4,-2,0,0
0.296875,1,0.4,-2,0,0
0.298125,1,0.4,-2,0,0
0.299375,1,0.4,-2,0,0
0.300625,1,0.4,-2,0,0
0.301875,1,0.4,-2,0,0
0.303125,1,0.4,-2,0,0
0.304375,1,0.4,-2,0,0
0.305625,1,0.4,-2,0,0
0.306875,1,0.4,-2,0,0
0.308125,1,0.4,-2,0,0
0.309375,1,0.4,-2,0,0
0.310625,1,0.4,-2,0,0
0.311875,1,0.4,-2,0,0
0.313125,1,0.4,-2,0,0
0.314375,1,0.4,-2,0,0
0.315625,1,0.4,-2,0,0
0.316875,1,0.4,-2,0,0
0.318125,1,0.4,-2,0,0
0.319375,1,0.4,-2,0,0
0.320625,1,0.4,-2,0,0
0.321875,1,0.4,-2,0,0
0.323125,1,0.4,-2,0,0
0.324375,1,0.4,-2,0,0
0.325625,1,0.4,-2,0,0
0.326875,1,0.4,-2,0,0
0.328125,1,0.4,-2,0,0
0.329375,1,0.4,-2,0,0
0.330625,1,0.4,-2,0,0
0.331875,1,0.4,-2,0,0
0.333125,1,0.4,-2,0,0
0.334375,1,0.4,-2,0,0
0.335625,1,0.4,-2,0,0
0.336875,1,0.4,-2,0,0
0.338125,1,0.4,-2,0,0
0.339375,1,0.4,-2,0,0
0.340625,1,0.4,-2,0,0
0.341875,1,0.4,-2,0,0
0.343125,1,0.4,-2,0,0
0.344375,1,0.4,-2,0,0
0.345625,1,0.4,-2,0,0
0.346875,1,0.4,-2,0,0
0.348125,1,0.4,-2,0,0
0.349375,1,0.4,-2,0,0
0.350625,1,0.4,-2,0,0
0.351875,1,0.4,-2,0,0
0.353125,1,0.4,-2,0,0
0.354375,1,0.4,-2,0,0
0.355625,1,0.4,-2,0,0
0.356875,1,0.4,-2,0,0
0.358125,1,0.4,-2,0,0
0.359375,1,0.4,-2,0,0
0.360625,1,0.4,-2,0,0
0.361875,1,0.4,-2,0,0
0.363125,1,0.4,-2,0,0
0.364375,1,0.4,-2,0,0
0.365625,1,0.4,-2,0,0
0.366875,1,0.4,-2,0,0
0.368125,1,0.4,-2,0,0
0.369375,1,0.4,-2,0,0
0.370625,1,0.4,-2,0,0
0.371875,1,0.4,-2,0,0
0.373125,1,0.4,-2,0,0
0.374375,1,0.4,-2,0,0
0.375625,1,0.4,-2,0,0
0.376875,1,0.4,-2,0,0
0.378125,1,0.4,-2,0,0
0.379375,1,0.4,-2,0,0
0.380625,1,0.4,-2,0,0
0.381875,1,0.4,-2,0,0
0.383125,1,0.4,-2,0,0
0.384375,1,0.4,-2,0,0
0.385625,1,0.4,-2,0,0
0.386875,1,0.4,-2,0,0
0.388125,1,0.4,-2,0,0
0.389375,1,0.4,-2,0,0
0.390625,1,0.4,-2,0,0
0.391875,1,0.4,-2,0,0
0.393125,1,0.4,-2,0,0
0.394375,1,0.4,-2,0,0
0.395625,1,0.4,-2,0,0
0.396875,1,0.4,-2,0,0
0.398125,1,0.4,-2,0,0
0.399375,1,0.4,-2,0,0
0.400625,1,0.4,-2,0,0
0.401875,1,0.4,-2,0,0
0.403125,1,0.4,-2,0,0
0.404375,1,0.4,-2,0,0
0.405625,1,0.4,-2,0,0
0.406875,1,0.4,-2,0,0
0.408125,1,0.4,-2,0,0
0.409375,1,0.4,-2,0,0
0.410625,1,0.4,-2,0,0
0.411875,1,0.4,-2,0,0
0.413125,1,0.4,-2,0,0
0.414375,1,0.4,-2,0,0
0.415625,1,0.4,-2,0,0
0.416875,1,0.4,-2,0,0
0.418125,1,0.4,-2,0,0
0.419375,1,0.4,-2,0,0
0.420625,1,0.4,-2,0,0
0.421875,1,0.4,-2,0,0
0.423125,1,0.4,-2,0,0
0.424375,1,0.4,-2,0,0
0.425625,1,0.4,-2,0,0
0.426875,1,0.4,-2,0,0
0.428125,1,0.4,-2,0,0
0.429375,1,0.4,-2,0,0
0.430625,1,0.4,-2,0,0
0.431875,1,0.4,-2,0,0
0.433125,1,0.4,-2,0,0
0.434375,1,0.4,-2,0,0
0.435625,1,0.4,-2,0,0
0.436875,1,0.4,-2,0,0
0.438125,1,0.4,-2,0,0
0.439375,1,0.4,-2,0,0
0.440625,1,0.4,-2,0,0
0.441875,1,0.4,-2,0,0
0.443125,1,0.4,-2,0,0
0.444375,1,0.4,-2,0,0
0.445625,1,0.4,-2,0,0
0.446875,1,0.4,-2,0,0
0.448125,1,0.4,-2,0,0
0.449375,1,0.4,-2,0,0
0.450625,1,0.4,-2,0,0
0.451875,1,0.4,-2,0,0
0.453125,1,0.4,-2,0,0
0.454375,1,0.4,-2,0,0
0.455625,1,0.4,-2,0,0
0.456875,1,0.4,-2,0,0
0.458125,1,0.4,-2,0,0
0.459375,1,0.4,-2,0,0
0.460625,1,0.4,-2,0,0
0.461875,1,0.4,-2,0,0
0.463125,1,0.4,-2,0,0
0.464375,1,0.4,-2,0,0
0.465625,1,0.4,-2,0,0
0.466875,1,0.4,-2,0,0
0.468125,1,0.4,-2,0,0
0.469375,1,0.4,-2,0,0
0.470625,1,0.4,-2,0,0
0.471875,1,0.4,-2,0,0
0.473125,1,0.4,-2,0,0
0.474375,1,0.4,-2,0,0
0.475625,1,0.4,-2,0,0
0.476875,1,0.4,-2,0,0
0.478125,1,0.4,-2,0,0
0.479375,1,0.4,-2,0,0
0.480625,1,0.4,-2,0,0
0.481875,1,0.4,-2,0,0
0.483125,1,0.4,-2,0,0
0.484375,1,0.4,-2,0,0
0.485625,1,0.4,-2,0,0
0.486875,1,0.4,-2,0,0
0.488125,1,0.4,-2,0,0
0.489375,1,0.4,-2,0,0
0.490625,1,0.4,-2,0,0
0.491875,1,0.4,-2,0,0
0.493125,1,0.4,-2,0,0
0.494375,1,0.4,-2,0,0
0.495625,1,0.4,-2,0,0
0.496875,1,0.4,-2,0,0
0.498125,1,0.4,-2,0,0
0.499375,1,0.4,-2,0,0
0.500625,1,0.4,2,0,0
0.501875,1,0.4,2,0,0
0.503125,1,0.4,2,0,0
0.504375,1,0.4,2,0,0
0.505625,1,0.4,2,0,0
0.506875,1,0.4,2,0,0
0.508125,1,0.4,2,0,0
0.509375,1,0.4,2,0,0
0.510625,1,0.4,2,0,0
0.511875,1,0.4,2,0,0
0.513125,1,0.4,2,0,0
0.514375,1,0.4,2,0,0
0.515625,1,0.4,2,0,0
0.516875,1,0.4,2,0,0
0.518125,1,0.4,2,0,0
0.519375,1,0.4,2,0,0
0.520625,1,0.4,2,0,0
0.521875,1,0.4,2,0,0
0.523125,1,0.4,2,0,0
0.524375,1,0.4,2,0,0
0.525625,1,0.4,2,0,0
0.526875,1,0.4,2,0,0
0.528125,1,0.4,2,0,0
0.529375,1,0.4,2,0,0
0.530625,1,0.4,2,0,0
0.531875,1,0.4,2,0,0
0.533125,1,0.4,2,0,0
0.534375,1,0.4,2,0,0
0.535625,1,0.4,2,0,0
0.536875,1,0.4,2,0,0
