x p rho alpha1 U rho1 rho2
0.372500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.377500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.382500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.387500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.392500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.397500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.402500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.407500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.412500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.417500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.422500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.427500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.432500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.437500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.442500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.447500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.452500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.457500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.462500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.467500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.472500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.477500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.482500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.487500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.492500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.497500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.502500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.507500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.512500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.517500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.522500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.527500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.532500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.537500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.542500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.547500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.552500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.557500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.562500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.567500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.572500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.577500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.582500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.587500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.592500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.597500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.602500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.607500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.612500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.617500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.622500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.627500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.632500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.637500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.642500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.647500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.652500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.657500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.662500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.667500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.672500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.677500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.682500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.687500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.692500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.697500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.702500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.707500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.712500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.717500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.722500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.727500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.732500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.737500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.742500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.747500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.752500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.757500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.762500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.767500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.772500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.777500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.782500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.787500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.792500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.797500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.802500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.807500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.812500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.817500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.822500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
