x,T,p,rho,U_0,U_1,U_2
0.116875,2.49947,0.999294,0.999447,0.000609483,0,0
0.118125,2.49947,0.999294,0.999447,0.000609483,0,0
0.119375,2.49947,0.999294,0.999447,0.000609483,0,0
0.120625,2.49922,0.998952,0.999207,0.000903737,0,0
0.121875,2.49922,0.998952,0.999207,0.000903737,0,0
0.123125,2.49922,0.998952,0.999207,0.000903737,0,0
0.124375,2.49922,0.998952,0.999207,0.000903737,0,0
0.125625,2.49887,0.998472,0.998868,0.00131718,0,0
0.126875,2.49887,0.998472,0.998868,0.00131718,0,0
0.128125,2.49887,0.998472,0.998868,0.00131718,0,0
0.129375,2.49887,0.998472,0.998868,0.00131718,0,0
0.130625,2.49838,0.997809,0.998401,0.00188691,0,0
0.131875,2.49838,0.997809,0.998401,0.00188691,0,0
0.133125,2.49838,0.997809,0.998401,0.00188691,0,0
0.134375,2.49838,0.997809,0.998401,0.00188691,0,0
0.135625,2.49772,0.996914,0.997768,0.00265684,0,0
0.136875,2.49772,0.996914,0.997768,0.00265684,0,0
0.138125,2.49772,0.996914,0.997768,0.00265684,0,0
0.139375,2.49772,0.996914,0.997768,0.00265684,0,0
0.140625,2.49684,0.995727,0.996929,0.00367719,0,0
0.141875,2.49684,0.995727,0.996929,0.00367719,0,0
0.143125,2.49684,0.995727,0.996929,0.00367719,0,0
0.144375,2.49684,0.995727,0.996929,0.00367719,0,0
0.145625,2.49571,0.994184,0.995837,0.0050035,0,0
0.146875,2.49571,0.994184,0.995837,0.0050035,0,0
0.148125,2.49571,0.994184,0.995837,0.0050035,0,0
0.149375,2.49571,0.994184,0.995837,0.0050035,0,0
0.150625,2.49426,0.992218,0.994443,0.00669483,0,0
0.151875,2.49426,0.992218,0.994443,0.00669483,0,0
0.153125,2.49426,0.992218,0.994443,0.00669483,0,0
0.154375,2.49426,0.992218,0.994443,0.00669483,0,0
0.155625,2.49246,0.989759,0.992698,0.00881156,0,0
0.156875,2.49246,0.989759,0.992698,0.00881156,0,0
0.158125,2.49246,0.989759,0.992698,0.00881156,0,0
0.159375,2.49246,0.989759,0.992698,0.00881156,0,0
0.160625,2.49024,0.986743,0.990553,0.0114128,0,0
0.161875,2.49024,0.986743,0.990553,0.0114128,0,0
0.163125,2.49024,0.986743,0.990553,0.0114128,0,0
0.164375,2.49024,0.986743,0.990553,0.0114128,0,0
0.165625,2.48757,0.983107,0.987963,0.0145538,0,0
0.166875,2.48757,0.983107,0.987963,0.0145538,0,0
0.168125,2.48757,0.983107,0.987963,0.0145538,0,0
0.169375,2.48757,0.983107,0.987963,0.0145538,0,0
0.170625,2.48441,0.978802,0.98489,0.0182832,0,0
0.171875,2.48441,0.978802,0.98489,0.0182832,0,0
0.173125,2.48441,0.978802,0.98489,0.0182832,0,0
0.174375,2.48441,0.978802,0.98489,0.0182832,0,0
0.175625,2.48071,0.973787,0.981303,0.0226411,0,0
0.176875,2.48071,0.973787,0.981303,0.0226411,0,0
0.178125,2.48071,0.973787,0.981303,0.0226411,0,0
0.179375,2.48071,0.973787,0.981303,0.0226411,0,0
0.180625,2.47647,0.968038,0.97718,0.0276576,0,0
0.181875,2.47647,0.968038,0.97718,0.0276576,0,0
0.183125,2.47647,0.968038,0.97718,0.0276576,0,0
0.184375,2.47647,0.968038,0.97718,0.0276576,0,0
0.185625,2.47166,0.961543,0.972511,0.0333519,0,0
0.186875,2.47166,0.961543,0.972511,0.0333519,0,0
0.188125,2.47166,0.961543,0.972511,0.0333519,0,0
0.189375,2.47166,0.961543,0.972511,0.0333519,0,0
0.190625,2.46629,0.954304,0.967293,0.0397325,0,0
0.191875,2.46629,0.954304,0.967293,0.0397325,0,0
0.193125,2.46629,0.954304,0.967293,0.0397325,0,0
0.194375,2.46629,0.954304,0.967293,0.0397325,0,0
0.195625,2.46035,0.946338,0.961535,0.0467977,0,0
0.196875,2.46035,0.946338,0.961535,0.0467977,0,0
0.198125,2.46035,0.946338,0.961535,0.0467977,0,0
0.199375,2.46035,0.946338,0.961535,0.0467977,0,0
0.200625,2.45386,0.937674,0.955252,0.0545363,0,0
0.201875,2.45386,0.937674,0.955252,0.0545363,0,0
0.203125,2.45386,0.937674,0.955252,0.0545363,0,0
0.204375,2.45386,0.937674,0.955252,0.0545363,0,0
0.205625,2.44683,0.928349,0.948468,0.0629299,0,0
0.206875,2.44683,0.928349,0.948468,0.0629299,0,0
0.208125,2.44683,0.928349,0.948468,0.0629299,0,0
0.209375,2.44683,0.928349,0.948468,0.0629299,0,0
0.210625,2.4393,0.918408,0.941211,0.0719533,0,0
0.211875,2.4393,0.918408,0.941211,0.0719533,0,0
0.213125,2.4393,0.918408,0.941211,0.0719533,0,0
0.214375,2.4393,0.918408,0.941211,0.0719533,0,0
0.215625,2.43128,0.907902,0.933513,0.0815773,0,0
0.216875,2.43128,0.907902,0.933513,0.0815773,0,0
0.218125,2.43128,0.907902,0.933513,0.0815773,0,0
0.219375,2.43128,0.907902,0.933513,0.0815773,0,0
0.220625,2.4228,0.896885,0.92541,0.0917691,0,0
0.221875,2.4228,0.896885,0.92541,0.0917691,0,0
0.223125,2.4228,0.896885,0.92541,0.0917691,0,0
0.224375,2.4228,0.896885,0.92541,0.0917691,0,0
0.225625,2.41391,0.885412,0.916938,0.102494,0,0
0.226875,2.41391,0.885412,0.916938,0.102494,0,0
0.228125,2.41391,0.885412,0.916938,0.102494,0,0
0.229375,2.41391,0.885412,0.916938,0.102494,0,0
0.230625,2.40462,0.873537,0.908134,0.113718,0,0
0.231875,2.40462,0.873537,0.908134,0.113718,0,0
0.233125,2.40462,0.873537,0.908134,0.113718,0,0
0.234375,2.40462,0.873537,0.908134,0.113718,0,0
0.235625,2.39498,0.861315,0.899034,0.125404,0,0
0.236875,2.39498,0.861315,0.899034,0.125404,0,0
0.238125,2.39498,0.861315,0.899034,0.125404,0,0
0.239375,2.39498,0.861315,0.899034,0.125404,0,0
0.240625,2.385,0.848796,0.889672,0.137521,0,0
0.241875,2.385,0.848796,0.889672,0.137521,0,0
0.243125,2.385,0.848796,0.889672,0.137521,0,0
0.244375,2.385,0.848796,0.889672,0.137521,0,0
0.245625,2.37472,0.836028,0.880082,0.150033,0,0
0.246875,2.37472,0.836028,0.880082,0.150033,0,0
0.248125,2.37472,0.836028,0.880082,0.150033,0,0
0.249375,2.37472,0.836028,0.880082,0.150033,0,0
0.250625,2.36417,0.823058,0.870295,0.162911,0,0
0.251875,2.36417,0.823058,0.870295,0.162911,0,0
0.253125,2.36417,0.823058,0.870295,0.162911,0,0
0.254375,2.36417,0.823058,0.870295,0.162911,0,0
0.255625,2.35338,0.809927,0.860339,0.176126,0,0
0.256875,2.35338,0.809927,0.860339,0.176126,0,0
0.258125,2.35338,0.809927,0.860339,0.176126,0,0
0.259375,2.35338,0.809927,0.860339,0.176126,0,0
0.260625,2.34235,0.796673,0.850243,0.189651,0,0
0.261875,2.34235,0.796673,0.850243,0.189651,0,0
0.263125,2.34235,0.796673,0.850243,0.189651,0,0
0.264375,2.34235,0.796673,0.850243,0.189651,0,0
0.265625,2.33113,0.78333,0.840029,0.20346,0,0
0.266875,2.33113,0.78333,0.840029,0.20346,0,0
0.268125,2.33113,0.78333,0.840029,0.20346,0,0
0.269375,2.33113,0.78333,0.840029,0.20346,0,0
0.270625,2.31972,0.769932,0.829721,0.217531,0,0
0.271875,2.31972,0.769932,0.829721,0.217531,0,0
0.273125,2.31972,0.769932,0.829721,0.217531,0,0
0.274375,2.31972,0.769932,0.829721,0.217531,0,0
0.275625,2.30815,0.756505,0.819338,0.231842,0,0
0.276875,2.30815,0.756505,0.819338,0.231842,0,0
0.278125,2.30815,0.756505,0.819338,0.231842,0,0
0.279375,2.30815,0.756505,0.819338,0.231842,0,0
0.280625,2.29643,0.743075,0.8089,0.246376,0,0
0.281875,2.29643,0.743075,0.8089,0.246376,0,0
0.283125,2.29643,0.743075,0.8089,0.246376,0,0
0.284375,2.29643,0.743075,0.8089,0.246376,0,0
0.285625,2.28458,0.729665,0.798423,0.261113,0,0
0.286875,2.28458,0.729665,0.798423,0.261113,0,0
0.288125,2.28458,0.729665,0.798423,0.261113,0,0
0.289375,2.28458,0.729665,0.798423,0.261113,0,0
0.290625,2.27261,0.716295,0.787922,0.276039,0,0
0.291875,2.27261,0.716295,0.787922,0.276039,0,0
0.293125,2.27261,0.716295,0.787922,0.276039,0,0
0.294375,2.27261,0.716295,0.787922,0.276039,0,0
0.295625,2.26053,0.702983,0.77741,0.291138,0,0
0.296875,2.26053,0.702983,0.77741,0.291138,0,0
0.298125,2.26053,0.702983,0.77741,0.291138,0,0
0.299375,2.26053,0.702983,0.77741,0.291138,0,0
0.300625,2.24836,0.689745,0.766899,0.306399,0,0
0.301875,2.24836,0.689745,0.766899,0.306399,0,0
0.303125,2.24836,0.689745,0.766899,0.306399,0,0
0.304375,2.24836,0.689745,0.766899,0.306399,0,0
0.305625,2.2361,0.676594,0.756401,0.321808,0,0
0.306875,2.2361,0.676594,0.756401,0.321808,0,0
0.308125,2.2361,0.676594,0.756401,0.321808,0,0
0.309375,2.2361,0.676594,0.756401,0.321808,0,0
0.310625,2.22377,0.663544,0.745925,0.337356,0,0
0.311875,2.22377,0.663544,0.745925,0.337356,0,0
0.313125,2.22377,0.663544,0.745925,0.337356,0,0
0.314375,2.22377,0.663544,0.745925,0.337356,0,0
0.315625,2.21137,0.650605,0.735479,0.353033,0,0
0.316875,2.21137,0.650605,0.735479,0.353033,0,0
