x,T,p,rho,U_0,U_1,U_2
0.000625,2.5,1,0.999943,-2.92084e-16,0,0
0.001875,2.5,1,0.999943,-2.92084e-16,0,0
0.003125,2.5,1,0.999943,-5.93451e-16,0,0
0.004375,2.5,1,0.999943,-5.93451e-16,0,0
0.005625,2.5,1,0.999943,-4.78489e-16,0,0
0.006875,2.5,1,0.999943,-4.78489e-16,0,0
0.008125,2.5,1,0.999943,-4.06116e-16,0,0
0.009375,2.5,1,0.999943,-4.06116e-16,0,0
0.010625,2.5,1,0.999943,-3.48055e-16,0,0
0.011875,2.5,1,0.999943,-3.48055e-16,0,0
0.013125,2.5,1,0.999943,-1.27486e-17,0,0
0.014375,2.5,1,0.999943,-1.27486e-17,0,0
0.015625,2.5,1,0.999943,9.67241e-16,0,0
0.016875,2.5,1,0.999943,9.67241e-16,0,0
0.018125,2.5,1,0.999943,3.12237e-15,0,0
0.019375,2.5,1,0.999943,3.12237e-15,0,0
0.020625,2.5,1,0.999943,7.61287e-15,0,0
0.021875,2.5,1,0.999943,7.61287e-15,0,0
0.023125,2.5,1,0.999943,1.67595e-14,0,0
0.024375,2.5,1,0.999943,1.67595e-14,0,0
0.025625,2.5,1,0.999943,3.42591e-14,0,0
0.026875,2.5,1,0.999943,3.42591e-14,0,0
0.028125,2.5,1,0.999943,6.9236e-14,0,0
0.029375,2.5,1,0.999943,6.9236e-14,0,0
0.030625,2.5,1,0.999943,1.37108e-13,0,0
0.031875,2.5,1,0.999943,1.37108e-13,0,0
0.033125,2.5,1,0.999943,2.67396e-13,0,0
0.034375,2.5,1,0.999943,2.67396e-13,0,0
0.035625,2.5,1,0.999943,5.16072e-13,0,0
0.036875,2.5,1,0.999943,5.16072e-13,0,0
0.038125,2.5,1,0.999943,9.87179e-13,0,0
0.039375,2.5,1,0.999943,9.87179e-13,0,0
0.040625,2.5,1,0.999943,1.87211e-12,0,0
0.041875,2.5,1,0.999943,1.87211e-12,0,0
0.043125,2.5,1,0.999943,3.52279e-12,0,0
0.044375,2.5,1,0.999943,3.52279e-12,0,0
0.045625,2.5,1,0.999943,6.57848e-12,0,0
0.046875,2.5,1,0.999943,6.57848e-12,0,0
0.048125,2.5,1,0.999943,1.21912e-11,0,0
0.049375,2.5,1,0.999943,1.21912e-11,0,0
0.050625,2.5,1,0.999943,2.24232e-11,0,0
0.051875,2.5,1,0.999943,2.24232e-11,0,0
0.053125,2.5,1,0.999943,4.09348e-11,0,0
0.054375,2.5,1,0.999943,4.09348e-11,0,0
0.055625,2.5,1,0.999943,7.41692e-11,0,0
0.056875,2.5,1,0.999943,7.41692e-11,0,0
0.058125,2.5,1,0.999943,1.33376e-10,0,0
0.059375,2.5,1,0.999943,1.33376e-10,0,0
0.060625,2.5,1,0.999943,2.3803e-10,0,0
0.061875,2.5,1,0.999943,2.3803e-10,0,0
0.063125,2.5,1,0.999943,4.21573e-10,0,0
0.064375,2.5,1,0.999943,4.21573e-10,0,0
0.065625,2.5,1,0.999943,7.40934e-10,0,0
0.066875,2.5,1,0.999943,7.40934e-10,0,0
0.068125,2.5,1,0.999943,1.29221e-09,0,0
0.069375,2.5,1,0.999943,1.29221e-09,0,0
0.070625,2.5,1,0.999943,2.23619e-09,0,0
0.071875,2.5,1,0.999943,2.23619e-09,0,0
0.073125,2.5,1,0.999943,3.83963e-09,0,0
0.074375,2.5,1,0.999943,3.83963e-09,0,0
0.075625,2.5,1,0.999943,6.54111e-09,0,0
0.076875,2.5,1,0.999943,6.54111e-09,0,0
0.078125,2.5,1,0.999943,1.10553e-08,0,0
0.079375,2.5,1,0.999943,1.10553e-08,0,0
0.080625,2.5,1,0.999943,1.85366e-08,0,0
0.081875,2.5,1,0.999943,1.85366e-08,0,0
0.083125,2.5,1,0.999943,3.08319e-08,0,0
0.084375,2.5,1,0.999943,3.08319e-08,0,0
0.085625,2.5,1,0.999943,5.087e-08,0,0
0.086875,2.5,1,0.999943,5.087e-08,0,0
0.088125,2.5,1,0.999943,8.32509e-08,0,0
0.089375,2.5,1,0.999943,8.32509e-08,0,0
0.090625,2.5,1,0.999943,1.35132e-07,0,0
0.091875,2.5,1,0.999943,1.35132e-07,0,0
0.093125,2.5,1,0.999943,2.17543e-07,0,0
0.094375,2.5,1,0.999943,2.17543e-07,0,0
0.095625,2.5,1,0.999943,3.47316e-07,0,0
0.096875,2.5,1,0.999943,3.47316e-07,0,0
0.098125,2.5,0.999999,0.999943,5.49883e-07,0,0
0.099375,2.5,0.999999,0.999943,5.49883e-07,0,0
0.100625,2.5,0.999999,0.999943,8.63289e-07,0,0
0.101875,2.5,0.999999,0.999943,8.63289e-07,0,0
0.103125,2.5,0.999998,0.999942,1.34387e-06,0,0
0.104375,2.5,0.999998,0.999942,1.34387e-06,0,0
0.105625,2.5,0.999998,0.999942,2.07417e-06,0,0
0.106875,2.5,0.999998,0.999942,2.07417e-06,0,0
0.108125,2.5,0.999996,0.999941,3.17389e-06,0,0
0.109375,2.5,0.999996,0.999941,3.17389e-06,0,0
0.110625,2.5,0.999994,0.99994,4.81472e-06,0,0
0.111875,2.5,0.999994,0.99994,4.81472e-06,0,0
0.113125,2.49999,0.999992,0.999938,7.24026e-06,0,0
0.114375,2.49999,0.999992,0.999938,7.24026e-06,0,0
0.115625,2.49999,0.999987,0.999935,1.07923e-05,0,0
0.116875,2.49999,0.999987,0.999935,1.07923e-05,0,0
0.118125,2.49999,0.999982,0.99993,1.59447e-05,0,0
0.119375,2.49999,0.999982,0.99993,1.59447e-05,0,0
0.120625,2.49998,0.999973,0.999924,2.33474e-05,0,0
0.121875,2.49998,0.999973,0.999924,2.33474e-05,0,0
0.123125,2.49997,0.999961,0.999916,3.38804e-05,0,0
0.124375,2.49997,0.999961,0.999916,3.38804e-05,0,0
0.125625,2.49996,0.999943,0.999904,4.87212e-05,0,0
0.126875,2.49996,0.999943,0.999904,4.87212e-05,0,0
0.128125,2.49994,0.999919,0.999887,6.94253e-05,0,0
0.129375,2.49994,0.999919,0.999887,6.94253e-05,0,0
0.130625,2.49992,0.999886,0.999863,9.80212e-05,0,0
0.131875,2.49992,0.999886,0.999863,9.80212e-05,0,0
0.133125,2.49988,0.99984,0.999831,0.000137119,0,0
0.134375,2.49988,0.99984,0.999831,0.000137119,0,0
0.135625,2.49984,0.999779,0.999788,0.000190031,0,0
0.136875,2.49984,0.999779,0.999788,0.000190031,0,0
0.138125,2.49978,0.999696,0.999729,0.000260903,0,0
0.139375,2.49978,0.999696,0.999729,0.000260903,0,0
0.140625,2.4997,0.999587,0.999652,0.000354844,0,0
0.141875,2.4997,0.999587,0.999652,0.000354844,0,0
0.143125,2.49959,0.999443,0.99955,0.000478061,0,0
0.144375,2.49959,0.999443,0.99955,0.000478061,0,0
0.145625,2.49945,0.999256,0.999418,0.000637974,0,0
0.146875,2.49945,0.999256,0.999418,0.000637974,0,0
0.148125,2.49928,0.999016,0.999249,0.00084331,0,0
0.149375,2.49928,0.999016,0.999249,0.00084331,0,0
0.150625,2.49905,0.998712,0.999033,0.00110416,0,0
0.151875,2.49905,0.998712,0.999033,0.00110416,0,0
0.153125,2.49877,0.998329,0.998762,0.00143201,0,0
0.154375,2.49877,0.998329,0.998762,0.00143201,0,0
0.155625,2.49843,0.997852,0.998425,0.00183966,0,0
0.156875,2.49843,0.997852,0.998425,0.00183966,0,0
0.158125,2.498,0.997266,0.998009,0.00234114,0,0
0.159375,2.498,0.997266,0.998009,0.00234114,0,0
0.160625,2.49748,0.996553,0.997503,0.00295152,0,0
0.161875,2.49748,0.996553,0.997503,0.00295152,0,0
0.163125,2.49685,0.995694,0.996894,0.00368667,0,0
0.164375,2.49685,0.995694,0.996894,0.00368667,0,0
0.165625,2.4961,0.99467,0.996167,0.00456293,0,0
0.166875,2.4961,0.99467,0.996167,0.00456293,0,0
0.168125,2.49522,0.993463,0.995309,0.00559675,0,0
0.169375,2.49522,0.993463,0.995309,0.00559675,0,0
0.170625,2.4942,0.992054,0.994306,0.0068043,0,0
0.171875,2.4942,0.992054,0.994306,0.0068043,0,0
0.173125,2.49301,0.990425,0.993147,0.00820109,0,0
0.174375,2.49301,0.990425,0.993147,0.00820109,0,0
0.175625,2.49165,0.988561,0.991818,0.00980152,0,0
0.176875,2.49165,0.988561,0.991818,0.00980152,0,0
0.178125,2.49011,0.986447,0.99031,0.0116185,0,0
0.179375,2.49011,0.986447,0.99031,0.0116185,0,0
0.180625,2.48837,0.984071,0.988614,0.0136634,0,0
0.181875,2.48837,0.984071,0.988614,0.0136634,0,0
0.183125,2.48644,0.981425,0.986722,0.0159453,0,0
0.184375,2.48644,0.981425,0.986722,0.0159453,0,0
0.185625,2.4843,0.978502,0.984629,0.0184714,0,0
0.186875,2.4843,0.978502,0.984629,0.0184714,0,0
0.188125,2.48195,0.975298,0.982333,0.0212465,0,0
0.189375,2.48195,0.975298,0.982333,0.0212465,0,0
0.190625,2.4794,0.971812,0.979831,0.0242733,0,0
0.191875,2.4794,0.971812,0.979831,0.0242733,0,0
0.193125,2.47663,0.968046,0.977125,0.0275523,0,0
0.194375,2.47663,0.968046,0.977125,0.0275523,0,0
0.195625,2.47366,0.964006,0.974217,0.031082,0,0
0.196875,2.47366,0.964006,0.974217,0.031082,0,0
0.198125,2.47048,0.959696,0.971111,0.0348592,0,0
0.199375,2.47048,0.959696,0.971111,0.0348592,0,0
0.200625,2.46709,0.955127,0.967812,0.0388788,0,0
0.201875,2.46709,0.955127,0.967812,0.0388788,0,0
0.203125,2.46352,0.950309,0.964327,0.0431347,0,0
0.204375,2.46352,0.950309,0.964327,0.0431347,0,0
0.205625,2.45975,0.945253,0.960664,0.0476194,0,0
0.206875,2.45975,0.945253,0.960664,0.0476194,0,0
0.208125,2.45581,0.939972,0.956832,0.0523245,0,0
0.209375,2.45581,0.939972,0.956832,0.0523245,0,0
0.210625,2.45169,0.934479,0.952838,0.0572412,0,0
0.211875,2.45169,0.934479,0.952838,0.0572412,0,0
0.213125,2.44741,0.928789,0.948693,0.06236,0,0
0.214375,2.44741,0.928789,0.948693,0.06236,0,0
0.215625,2.44297,0.922916,0.944406,0.0676711,0,0
0.216875,2.44297,0.922916,0.944406,0.0676711,0,0
0.218125,2.43839,0.916873,0.939986,0.0731649,0,0
0.219375,2.43839,0.916873,0.939986,0.0731649,0,0
0.220625,2.43367,0.910675,0.935444,0.0788314,0,0
0.221875,2.43367,0.910675,0.935444,0.0788314,0,0
0.223125,2.42881,0.904335,0.930788,0.0846611,0,0
0.224375,2.42881,0.904335,0.930788,0.0846611,0,0
0.225625,2.42384,0.897866,0.926027,0.0906446,0,0
0.226875,2.42384,0.897866,0.926027,0.0906446,0,0
0.228125,2.41875,0.891282,0.92117,0.0967726,0,0
0.229375,2.41875,0.891282,0.92117,0.0967726,0,0
0.230625,2.41355,0.884594,0.916226,0.103037,0,0
0.231875,2.41355,0.884594,0.916226,0.103037,0,0
0.233125,2.40826,0.877813,0.911202,0.109428,0,0
0.234375,2.40826,0.877813,0.911202,0.109428,0,0
0.235625,2.40287,0.870951,0.906105,0.115939,0,0
0.236875,2.40287,0.870951,0.906105,0.115939,0,0
0.238125,2.3974,0.864018,0.900944,0.122562,0,0
0.239375,2.3974,0.864018,0.900944,0.122562,0,0
0.240625,2.39185,0.857022,0.895725,0.12929,0,0
0.241875,2.39185,0.857022,0.895725,0.12929,0,0
0.243125,2.38622,0.849974,0.890453,0.136116,0,0
0.244375,2.38622,0.849974,0.890453,0.136116,0,0
0.245625,2.38052,0.842882,0.885135,0.143033,0,0
0.246875,2.38052,0.842882,0.885135,0.143033,0,0
0.248125,2.37477,0.835753,0.879777,0.150037,0,0
0.249375,2.37477,0.835753,0.879777,0.150037,0,0
0.250625,2.36895,0.828594,0.874382,0.157122,0,0
0.251875,2.36895,0.828594,0.874382,0.157122,0,0
0.253125,2.36308,0.821412,0.868957,0.164282,0,0
0.254375,2.36308,0.821412,0.868957,0.164282,0,0
0.255625,2.35716,0.814212,0.863505,0.171513,0,0
0.256875,2.35716,0.814212,0.863505,0.171513,0,0
0.258125,2.35119,0.807002,0.858031,0.17881,0,0
0.259375,2.35119,0.807002,0.858031,0.17881,0,0
0.260625,2.34518,0.799786,0.852537,0.186169,0,0
0.261875,2.34518,0.799786,0.852537,0.186169,0,0
0.263125,2.33913,0.792568,0.847028,0.193587,0,0
0.264375,2.33913,0.792568,0.847028,0.193587,0,0
0.265625,2.33304,0.785353,0.841507,0.201059,0,0
0.266875,2.33304,0.785353,0.841507,0.201059,0,0
0.268125,2.32692,0.778145,0.835977,0.208583,0,0
0.269375,2.32692,0.778145,0.835977,0.208583,0,0
0.270625,2.32077,0.770948,0.830441,0.216155,0,0
0.271875,2.32077,0.770948,0.830441,0.216155,0,0
0.273125,2.31459,0.763765,0.8249,0.223773,0,0
0.274375,2.31459,0.763765,0.8249,0.223773,0,0
0.275625,2.30838,0.7566,0.819358,0.231434,0,0
0.276875,2.30838,0.7566,0.819358,0.231434,0,0
0.278125,2.30215,0.749455,0.813817,0.239136,0,0
0.279375,2.30215,0.749455,0.813817,0.239136,0,0
0.280625,2.2959,0.742332,0.808278,0.246875,0,0
0.281875,2.2959,0.742332,0.808278,0.246875,0,0
0.283125,2.28963,0.735235,0.802744,0.254651,0,0
0.284375,2.28963,0.735235,0.802744,0.254651,0,0
0.285625,2.28333,0.728165,0.797216,0.262461,0,0
0.286875,2.28333,0.728165,0.797216,0.262461,0,0
0.288125,2.27703,0.721125,0.791695,0.270303,0,0
0.289375,2.27703,0.721125,0.791695,0.270303,0,0
0.290625,2.2707,0.714116,0.786184,0.278175,0,0
0.291875,2.2707,0.714116,0.786184,0.278175,0,0
0.293125,2.26436,0.70714,0.780683,0.286077,0,0
0.294375,2.26436,0.70714,0.780683,0.286077,0,0
0.295625,2.25801,0.700198,0.775194,0.294006,0,0
0.296875,2.25801,0.700198,0.775194,0.294006,0,0
0.298125,2.25165,0.693293,0.769718,0.301961,0,0
0.299375,2.25165,0.693293,0.769718,0.301961,0,0
0.300625,2.24527,0.686424,0.764256,0.309941,0,0
0.301875,2.24527,0.686424,0.764256,0.309941,0,0
0.303125,2.23889,0.679594,0.758809,0.317945,0,0
0.304375,2.23889,0.679594,0.758809,0.317945,0,0
0.305625,2.2325,0.672804,0.753378,0.325971,0,0
0.306875,2.2325,0.672804,0.753378,0.325971,0,0
0.308125,2.2261,0.666053,0.747964,0.334019,0,0
0.309375,2.2261,0.666053,0.747964,0.334019,0,0
0.310625,2.21969,0.659344,0.742567,0.342086,0,0
0.311875,2.21969,0.659344,0.742567,0.342086,0,0
0.313125,2.21328,0.652677,0.737188,0.350174,0,0
0.314375,2.21328,0.652677,0.737188,0.350174,0,0
0.315625,2.20686,0.646053,0.731829,0.35828,0,0
0.316875,2.20686,0.646053,0.731829,0.35828,0,0
0.318125,2.20043,0.639472,0.726488,0.366404,0,0
0.319375,2.20043,0.639472,0.726488,0.366404,0,0
0.320625,2.19401,0.632935,0.721168,0.374545,0,0
0.321875,2.19401,0.632935,0.721168,0.374545,0,0
0.323125,2.18758,0.626442,0.715869,0.382702,0,0
0.324375,2.18758,0.626442,0.715869,0.382702,0,0
0.325625,2.18114,0.619995,0.710591,0.390875,0,0
0.326875,2.18114,0.619995,0.710591,0.390875,0,0
0.328125,2.17471,0.613592,0.705334,0.399063,0,0
0.329375,2.17471,0.613592,0.705334,0.399063,0,0
